1,   , ,36,33,30,27,24,21,18,15,12,9,6,3
12,360,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
15,105,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
15,145,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5)
15,180,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,14(7)
15,240,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5),16(8)
18,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
18,60,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5(3)
18,80,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,14(7)
18,105,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3(2),18(8)
18,145,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8(4),20(10)
18,180,2,  ,  ,,  ,  ,  ,  ,  ,  ,5(3),18(9),23(12)
21,35,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
21,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5(3)
21,60,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,17(9)
21,80,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,8(4),17(9)
21,105,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,7(4),11(6),21(11)
21,145,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,8(4),14(7),29(15)
21,180,2,  ,  ,  ,  ,  ,  ,  ,  ,10(5),18(9),24(12),36(18)
24,25,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
24,35,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3)
24,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3),20(10)
24,60,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5),24(12)
24,80,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,7(4),10(5),25(13)
24,105,2,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5),18(9),27(14)
24,145,2,  ,  ,  ,  ,  ,  ,  ,  ,9(5),12(6),23(14),34(17)
24,180,2,  ,  ,  ,  ,  ,  ,  ,4(2),19(10),29(15),32(16),50(25)
27,20,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
27,25,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,2(1)
27,35,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,12(6)
27,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,12(6),22(11)
27,60,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,7(4),12(6),23(12)
27,80,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,9(5),20(10),24(12)
27,105,2,  ,  ,  ,  ,  ,  ,  ,2(1),11(6),15(8),22(11),29(15)
27,145,2,  ,  ,  ,  ,  ,  ,  ,12(6),16(8),25(13),33(17),51(26)
30,15,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
30,20,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1(1)
30,25,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4(2)
30,35,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,5(3),15(8)
30,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,2(1),13(7),23(12)
30,60,3,  ,  ,  ,  ,  ,  ,  ,  ,1(1),10(5),15(8),25(12)
30,80,2,  ,  ,  ,  ,  ,  ,  ,2(1),10(5),14(7),22(11),28(14)
30,105,2,  ,  ,  ,  ,  ,  ,  ,5(3),14(7),18(9),28(14),39(20)
30,145,2,  ,  ,  ,  ,  ,  ,14,19(10),21(11),30(15),40(20),61(31)
33,15,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
33,20,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3(2)
33,25,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5)
33,35,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3),10(5),16(8)
33,45,3,  ,  ,  ,  ,  ,  ,  ,  ,  ,8(4),14(7),24(12)
33,60,3,  ,  ,  ,  ,  ,  ,  ,  ,12(6),14(7),17(9),26(13)
33,80,3,  ,  ,  ,  ,  ,  ,  ,6(3),12(6),16(8),25(13),32(16)
33,105,2,  ,  ,  ,  ,  ,  ,8,12(6),19(10),20(10),33(17),41(21)
33,145,2,  ,  ,  ,  ,  ,16,19,22(11),24(12),39(20),60(30),73(37)
36,10,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
36,15,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,3(2)
36,20,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4(2)
36,25,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,2(1),6(3),12(6)
36,35,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,10(5),12(6),17(9)
36,45,3,  ,  ,  ,  ,  ,  ,  ,  ,5(3),12(6),18(9),24(12)
36,60,3,  ,  ,  ,  ,  ,  ,  ,4(2),14(7),16(8),18(9),30(15)
36,80,3,  ,  ,  ,  ,  ,  ,4,10(5),18(9),21(11),27(14),35(18)
36,105,2,  ,  ,  ,  ,11,13,15,17(9),24(12),37(19),48(24),72(36)
39,10,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
39,15,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3)
39,20,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,9(5)
39,25,4,  ,  ,  ,  ,  ,  ,  ,  ,  ,6(3),10(5),14(7)
39,35,4,  ,  ,  ,  ,  ,  ,  ,  ,3(2),12(6),16(8),18(9)
39,45,4,  ,  ,  ,  ,  ,  ,  ,  ,6(3),16(8),20(10),27(14)
39,60,3,  ,  ,  ,  ,  ,  ,4,10(5),18(9),22(11),24(12),30(15)
39,80,2,  ,  ,  ,  ,  ,5,10,14(7),20(10),23(12),28(14),38(19)
39,105,2,  ,  ,  ,8,13,16,18,20(10),30(15),44(22),59(30),85(43)
42,10,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
42,15,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,9(5)
42,20,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,4(2),15(8)
42,25,5,  ,  ,  ,  ,  ,  ,  ,  ,  ,9(5),14(7),16(8)
42,35,4,  ,  ,  ,  ,  ,  ,  ,  ,9(5),14(7),17(9),22(11)
42,45,4,  ,  ,  ,  ,  ,  ,  ,4(2),10(5),19(10),22(11),27(14)
42,60,3,  ,  ,  ,  ,  ,2,9,16(8),20(10),23(12),26(13),32(16)
42,80,3,  ,  ,  ,  ,  ,12,14,17(9),22(11),25(13),32(16),42(21)
42,105,2,  ,  ,  ,12,14,18,19,26(13),39(20),49(25),75(38),105(53)
45,10,6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
